time,x-position,velocity,momentum,kinetic energy,potential energy
17,-0.00968761,-0.0183538,-0.0183538,0.00016843,0.000187699
17.1,-0.011276,-0.0133501,-0.0133501,8.91131e-05,0.000254297
17.2,-0.0123485,-0.00807141,-0.00807141,3.25738e-05,0.000304969
17.3,-0.0128884,-0.00273626,-0.00273626,3.74355e-06,0.000332223
17.4,-0.0129009,0.0024451,0.0024451,2.98926e-06,0.000332864
17.5,-0.012411,0.00727868,0.00727868,2.64896e-05,0.000308067
17.6,-0.0114625,0.0115935,0.0115935,6.72044e-05,0.000262776
17.7,-0.0101144,0.015247,0.015247,0.000116236,0.000204602
17.8,-0.00843879,0.0181295,0.0181295,0.000164339,0.000142426
17.9,-0.00651674,0.0201663,0.0201663,0.00020334,8.49358e-05
18,-0.00443502,0.0213197,0.0213197,0.000227264,3.93388e-05
18.1,-0.00228236,0.0215877,0.0215877,0.000233014,1.04183e-05
18.2,-0.00014593,0.0210032,0.0210032,0.000220567,4.25912e-08
18.3,0.00189198,0.0196305,0.0196305,0.000192677,7.15915e-06
18.4,0.00375692,0.0175613,0.0175613,0.0001542,2.82289e-05
18.5,0.00538482,0.0149102,0.0149102,0.000111156,5.79925e-05
18.6,0.00672392,0.0118085,0.0118085,6.97204e-05,9.04223e-05
18.7,0.00773625,0.00839894,0.00839894,3.52711e-05,0.000119699
18.8,0.00839837,0.00482905,0.00482905,1.16598e-05,0.000141065
18.9,0.00870161,0.00124548,0.00124548,7.75606e-07,0.000151436
19,0.00865169,-0.00221175,-0.00221175,2.44593e-06,0.000149703
19.1,0.00826777,-0.00541436,-0.00541436,1.46577e-05,0.000136712
19.2,0.00758106,-0.00825024,-0.00825024,3.40332e-05,0.000114945
19.3,0.00663305,-0.010627,-0.010627,5.64663e-05,8.79946e-05
19.4,0.00547333,-0.0124746,-0.0124746,7.78073e-05,5.99147e-05
19.5,0.00415734,-0.0137469,-0.0137469,9.44891e-05,3.45669e-05
19.6,0.00274386,-0.0144227,-0.0144227,0.000104007,1.50575e-05
19.7,0.00129262,-0.0145046,-0.0145046,0.000105192,3.34173e-06
