time,x-position,velocity,momentum,kinetic energy,potential energy
12.5,-0.0907687,2.00016,2.00016,2.00033,0.0164779
12.6,0.109697,1.99591,1.99591,1.99183,0.0240667
12.7,0.305786,1.91293,1.91293,1.82966,0.18701
12.8,0.489764,1.75448,1.75448,1.5391,0.479738
12.9,0.654371,1.52679,1.52679,1.16554,0.856404
13,0.79311,1.23882,1.23882,0.767343,1.25805
13.1,0.900504,0.901943,0.901943,0.406751,1.62181
13.2,0.97231,0.529437,0.529437,0.140152,1.89077
13.3,1.00569,0.136012,0.136012,0.00924967,2.02284
13.4,0.999333,-0.26279,-0.26279,0.0345293,1.99733
13.5,0.953481,-0.65121,-0.65121,0.212037,1.81825
13.6,0.86995,-1.01389,-1.01389,0.513988,1.51363
13.7,0.752041,-1.33649,-1.33649,0.893103,1.13113
13.8,0.604416,-1.60624,-1.60624,1.29,0.730637
13.9,0.432914,-1.81246,-1.81246,1.6425,0.374828
14,0.244318,-1.94697,-1.94697,1.89535,0.119382
14.1,0.0460902,-2.00445,-2.00445,2.00892,0.00424862
14.2,-0.153925,-1.98261,-1.98261,1.96536,0.0473859
14.3,-0.347812,-1.88228,-1.88228,1.7715,0.241946
14.4,-0.527894,-1.70744,-1.70744,1.45768,0.557345
14.5,-0.687044,-1.46499,-1.46499,1.0731,0.944058
14.6,-0.818957,-1.16453,-1.16453,0.678063,1.34138
14.7,-0.91841,-0.817939,-0.817939,0.334512,1.68695
14.8,-0.981463,-0.438949,-0.438949,0.0963383,1.92654
14.9,-1.00562,-0.0425707,-0.0425707,0.000906134,2.02254
15,-0.989921,0.355491,0.355491,0.063187,1.95989
15.1,-0.934991,0.739459,0.739459,0.2734,1.74842
15.2,-0.843008,1.09411,1.09411,0.59854,1.42132
15.3,-0.717617,1.40538,1.40538,0.987552,1.02995
15.4,-0.563791,1.66093,1.66093,1.37934,0.635721
15.5,-0.38763,1.8506,1.8506,1.71236,0.300514
15.6,-0.19612,1.96688,1.96688,1.93431,0.0769264
15.7,0.00314155,2.00513,2.00513,2.01028,1.97387e-05
15.8,0.202251,1.96384,1.96384,1.92834,0.0818112
15.9,0.39331,1.84464,1.84464,1.70134,0.309385
16,0.568736,1.65224,1.65224,1.36494,0.646921
16.1,0.721568,1.39427,1.39427,0.971994,1.04132
